key,de-DE,en-US
server.config.name.system.apikey,API-Key, API-Key
server.config.parameter.system.apikey.apikey.label,API-Key, API-Key
server.config.name.system.update_interval_gfbio,Updateeinstellungen für gfbio-Verknüpfungen,Update settings for gfbio-Relations
server.config.parameter.system.update_interval_gfbio.days.label,Tage zwischen Updates,Days between updates
server.config.parameter.system.update_interval_gfbio.default_language.label,Standard-Datensprache als Fallback für Update (ISO 639-1),Default-data-language (as fallback) for update (ISO 639-1)
custom.data.type.gfbio.name,gfbio-Verknüpfung,gfbio-Relation
custom.data.type.gfbio.subtree_id.name,Eltern-URI,SUBTREE-URI
custom.data.type.gfbio.language.name,Sprache,Language
custom.data.type.gfbio.config.parameter.schema.vocabulary_notation.value.label,Vokabular-Notation (komma-separiert),Vocabulary-notation (comma-separated)
custom.data.type.gfbio.setting.schema.no_vocabulary_notation,Keine Vokabular-Notation gegeben,No vocabulary-notation given
custom.data.type.gfbio.config.parameter.schema.subtree_id.value.label,Parent-URI (only dropdown and popup-mode. Not treeview.),Parent-URI (only dropdown and popup-mode. Not treeview.)
custom.data.type.gfbio.setting.schema.subtree_id,Keine Parent-URI hinterlegt,No parent URI given
custom.data.type.gfbio.modal.form.dropdown.nolabelinlanguagefound,Kein Label in aktiver Sprache,No Label in active language
custom.data.type.gfbio.config.parameter.mask.editor_style.value.label,Editor-Stil,Editor-Style
custom.data.type.gfbio.config.option.mask.editor_style.value.popover,Popover,Popover
custom.data.type.gfbio.config.option.mask.editor_style.value.dropdown,Dropdown,Dropdown
custom.data.type.gfbio.config.option.mask.editor_style.value.popover_treeview,Popover mit Baumansicht,Popover with treeview
custom.data.type.gfbio.config.parameter.mask.allow_label_choice.value.label,Erlaube die händische Auswahl aus den gegebenen Labels,Allow manual choice from available labels
custom.data.type.gfbio.config.parameter.mask.allow_label_choice.value.checkbox,Erlaubt,Allowed
custom.data.type.gfbio.config.parameter.mask.default_concept_uri.value.label,Standard-URI,Standard-URI
custom.data.type.gfbio.config.parameter.mask.default_concept_name.value.label,Standard-Name,Standard-Name
custom.data.type.gfbio.modal.form.popup.choose,"Auswahl aus dem GFBio Terminology Service","Choose record from GFBio Terminology Service"
custom.data.type.gfbio.modal.form.text.searchbar,Suchbegriff eingeben,Enter searchterm
custom.data.type.gfbio.modal.form.text.searchbar.placeholder, tippen ... ,type sth. ...
custom.data.type.gfbio.modal.form.loadingSuggestions,Vorschläge werden geladen,Suggestions are being loaded
custom.data.type.gfbio.modal.form.popup.suggest.nohit,Kein Treffer,No hit
custom.data.type.gfbio.modal.form.text.count,Maximale Treffer,Max hits
custom.data.type.gfbio.modal.form.text.count_short,Treffer,hits
custom.data.type.gfbio.modal.form.popup.loadingstring,Weitere Informationen laden,loading full information
custom.data.type.gfbio.modal.form.dropdown.selectvocabularyLabel,Vokabular,Vocabulary
custom.data.type.gfbio.modal.form.dropdown.choosefromvocall,Alle Vokabulare,All vocabularys
custom.data.type.gfbio.modal.form.popup.treeview.nopreflabel,ohne Label,without label
custom.data.type.gfbio.modal.form.popup.json.preview.nopreflabel,ohne Label,without label
custom.data.type.gfbio.modal.form.popup.jsonpreview.terms,Bezeichnungen,Terms
custom.data.type.gfbio.modal.form.popup.jsonpreview.altterms,Andere Bezeichnungen,Alternative terms
custom.data.type.gfbio.modal.form.popup.jsonpreview.hiddenterms,Versteckte Bezeichnungen,Hidden terms
custom.data.type.gfbio.modal.form.popup.jsonpreview.definition,Definition,Definition
custom.data.type.gfbio.modal.form.popup.jsonpreview.scopenote,Verwendungshinweis,ScopeNote
custom.data.type.gfbio.modal.form.popup.jsonpreview.note,Notiz,Note
custom.data.type.gfbio.modal.form.popup.treeviewreset,Reset,reset
custom.data.type.gfbio.modal.form.popup.treeviewsearch,Suchen,search
custom.data.type.gfbio.modal.form.popup.loadingstringtreeview,Baumansicht wird geladen,loading treeview
custom.data.type.gfbio.modal.form.popup.add_choose,Datensatz verknüpfen,Link record
custom.data.type.gfbio.modal.form.dropdown.choose,auswählen ..,choose ..
custom.data.type.gfbio.config.parameter.schema.lang.value.label,Sprache (ISO 639-1) der Ergebnislabel,Language (ISO 639-1) of resultlabels
custom.data.type.gfbio.setting.schema.lang,Keine Sprache angegeben,No language configured
custom.data.type.gfbio.modal.form.popup.choose_manual_label,Auswahl eines Labels, Choose a label
custom.data.type.gfbio.modal.form.popup.choose_expertsearchmode_.exact,Exakt diese Auswahl,Exact this selection
custom.data.type.gfbio.modal.form.popup.choose_expertsearchmode_.exact_short,Exakt,Exact
custom.data.type.gfbio.modal.form.popup.choose_expertsearchmode_.include_children,Auch Kinder einbeziehen,Include children too
custom.data.type.gfbio.modal.form.popup.choose_expertsearchmode_.include_children_short,Auch Kinder,Include children
custom.data.type.gfbio.modal.form.popup.choose_expertsearchmode_label,Suchmodus für Expertensuche wählen,Select search mode for expert search
custom.data.type.gfbio.modal.form.popup.choose_expertsearchmode_label2,Was wollen Sie finden? Nur exakte Treffer oder auch alle Kinder und Kindeskinder ihrer Suchauswahl?,What do you want to find? Only exact hits or also all children and grandchildren in your search selection?
custom.data.type.gfbio.modal.form.popup.choose_expertsearchmode_label3,Ausgewählt,Selected
server.config.name.system.endpointurl,API-URL,API-URL
server.config.parameter.system.endpointurl.endpointurl.label,API-URL,API-URL
custom.data.type.commons.popover.choose.label,Auswahl treffen,choose
custom.data.type.commons.modal.form.popup.loadingstring,Lade Informationen,loading
custom.data.type.commons.controls.search.label,Suchen,Search
custom.data.type.commons.controls.detailinfo.label,Detailinfo, Details
custom.data.type.commons.controls.calluri.label,Uri aufrufen,Call URI
custom.data.type.commons.controls.delete.label,Löschen,Delete
custom.data.type.gfbio.config.parameter.mask.overwrite_ontology_configuration.value.label,Ontology-Konfiguration aus Schema überschreiben,Overwrite ontology-configuration from schema
